provider_id,provider_name,provider_type,specialty,city,state,network_status
P1000,Provider_0001,Hospital,Orthopedics,San Diego,CA,In-Network
P1001,Provider_0002,Clinic,Cardiology,Tacoma,WA,In-Network
P1002,Provider_0003,Physician,Neurology,Arlington,VA,In-Network
P1003,Provider_0004,Clinic,Orthopedics,San Diego,CA,In-Network
P1004,Provider_0005,Clinic,Orthopedics,Tempe,AZ,In-Network
P1005,Provider_0006,Clinic,Emergency Medicine,Charlotte,NC,In-Network
P1006,Provider_0007,Specialist Center,Dermatology,Mesa,AZ,In-Network
P1007,Provider_0008,Physician,Cardiology,Orlando,FL,In-Network
P1008,Provider_0009,Clinic,Cardiology,Arlington,VA,In-Network
P1009,Provider_0010,Specialist Center,Pediatrics,Dallas,TX,In-Network
P1010,Provider_0011,Physician,Cardiology,Savannah,GA,In-Network
P1011,Provider_0012,Hospital,Primary Care,Phoenix,AZ,Out-of-Network
P1012,Provider_0013,Specialist Center,Neurology,Dallas,TX,In-Network
P1013,Provider_0014,Physician,Neurology,Atlanta,GA,In-Network
P1014,Provider_0015,Clinic,Pediatrics,Seattle,WA,In-Network
P1015,Provider_0016,Clinic,Primary Care,Durham,NC,In-Network
P1016,Provider_0017,Specialist Center,Dermatology,Durham,NC,In-Network
P1017,Provider_0018,Hospital,Pediatrics,Houston,TX,In-Network
P1018,Provider_0019,Specialist Center,Dermatology,Aurora,IL,In-Network
P1019,Provider_0020,Hospital,Pediatrics,Seattle,WA,In-Network
P1020,Provider_0021,Hospital,Neurology,Atlanta,GA,In-Network
P1021,Provider_0022,Specialist Center,Emergency Medicine,Norfolk,VA,Out-of-Network
P1022,Provider_0023,Specialist Center,Dermatology,Norfolk,VA,In-Network
P1023,Provider_0024,Specialist Center,Primary Care,Richmond,VA,In-Network
P1024,Provider_0025,Physician,Oncology,Rochester,NY,Out-of-Network
P1025,Provider_0026,Physician,Neurology,Raleigh,NC,In-Network
P1026,Provider_0027,Specialist Center,Emergency Medicine,Aurora,IL,In-Network
P1027,Provider_0028,Physician,Oncology,Tacoma,WA,In-Network
P1028,Provider_0029,Physician,Orthopedics,Miami,FL,In-Network
P1029,Provider_0030,Hospital,Dermatology,Tampa,FL,In-Network
P1030,Provider_0031,Clinic,Oncology,Savannah,GA,In-Network
P1031,Provider_0032,Clinic,Neurology,Austin,TX,In-Network
P1032,Provider_0033,Physician,Orthopedics,San Diego,CA,In-Network
P1033,Provider_0034,Hospital,Oncology,Raleigh,NC,In-Network
P1034,Provider_0035,Specialist Center,Orthopedics,Buffalo,NY,In-Network
P1035,Provider_0036,Hospital,Emergency Medicine,Augusta,GA,In-Network
P1036,Provider_0037,Hospital,Emergency Medicine,San Diego,CA,In-Network
P1037,Provider_0038,Clinic,Neurology,San Diego,CA,In-Network
